WarehouseVolume:[
(1)	[100000000]
]
StoreVolume:[
(1)	[10000000]
(2)	[10000000]
(3)	[10000000]
(4)	[10000000]
(5)	[10000000]
(6)	[10000000]
(7)	[10000000]
(8)	[10000000]
(9)	[10000000]
(10)	[10000000]
(11)	[10000000]
(12)	[10000000]
(13)	[10000000]
(14)	[10000000]
(15)	[10000000]
(16)	[10000000]
(17)	[10000000]
(18)	[10000000]
(19)	[10000000]
(20)	[10000000]
(21)	[10000000]
(22)	[10000000]
(23)	[10000000]
(24)	[10000000]
(25)	[10000000]
]
StoreDemand:[
(1	1	1)	[7]
(1	1	2)	[12]
(1	1	3)	[9]
(1	1	4)	[8]
(1	1	5)	[14]
(1	2	1)	[15]
(1	2	2)	[11]
(1	2	3)	[14]
(1	2	4)	[12]
(1	2	5)	[7]
(1	3	1)	[5]
(1	3	2)	[8]
(1	3	3)	[9]
(1	3	4)	[13]
(1	3	5)	[3]
(1	4	1)	[5]
(1	4	2)	[5]
(1	4	3)	[10]
(1	4	4)	[9]
(1	4	5)	[10]
(1	5	1)	[6]
(1	5	2)	[9]
(1	5	3)	[7]
(1	5	4)	[12]
(1	5	5)	[8]
(1	6	1)	[5]
(1	6	2)	[9]
(1	6	3)	[5]
(1	6	4)	[8]
(1	6	5)	[5]
(1	7	1)	[5]
(1	7	2)	[10]
(1	7	3)	[7]
(1	7	4)	[8]
(1	7	5)	[7]
(1	8	1)	[5]
(1	8	2)	[7]
(1	8	3)	[10]
(1	8	4)	[4]
(1	8	5)	[10]
(1	9	1)	[11]
(1	9	2)	[6]
(1	9	3)	[7]
(1	9	4)	[6]
(1	9	5)	[10]
(1	10	1)	[7]
(1	10	2)	[11]
(1	10	3)	[11]
(1	10	4)	[12]
(1	10	5)	[2]
(1	11	1)	[8]
(1	11	2)	[5]
(1	11	3)	[8]
(1	11	4)	[8]
(1	11	5)	[3]
(1	12	1)	[16]
(1	12	2)	[2]
(1	12	3)	[10]
(1	12	4)	[8]
(1	12	5)	[10]
(1	13	1)	[9]
(1	13	2)	[3]
